127.0.0.1 - - [30/Jun/2024:07:12:39 +0700] "GET / HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET / HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/js/lib/prj/bootstrap-datepicker/css/bootstrap-datepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/js/lib/prj/dropzone/min/dropzone.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/js/lib/bootstrap-fileinput/css/fileinput-custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/css/_main_prj.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/css/icons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/css/custom_pagination.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/js/lib/bootstrap-fileinput/css/fileinput.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/css/custom_box.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/css/bootstrap-glyphicons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/css/custom_dboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/css/font-awesome4.1.0.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/css/app.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/css/RISSI.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/js/lib/daypilot/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/js/lib/select2/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/js/require.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/js/app/main/app.js?hnv1.25 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/js/app/common/ctrl/RightController.js?bust=1.25.450 HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/js/app/common/ctrl/MsgboxController_New.js?bust=1.25.450 HTTP/1.1" 200 2068
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/js/app/main/route/CommonRouteController.js?bust=1.25.450 HTTP/1.1" 200 1684
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/js/app/common/ctrl/Network.js?bust=1.25.450 HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/js/app/common/ctrl/DateTool.js?bust=1.25.450 HTTP/1.1" 200 5372
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:50 +0700] "GET /www/js/lib/sha256.min.js?bust=1.25.450 HTTP/1.1" 200 3595
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:51 +0700] "GET /www/js/app/common/ctrl/FunctionTool.js?bust=1.25.450 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:51 +0700] "GET /www/js/app/common/ctrl/ExceptionTool.js?bust=1.25.450 HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:51 +0700] "GET /www/js/app/common/ctrl/Queue.js?bust=1.25.450 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:51 +0700] "GET /www/js/app/common/ctrl/URLTool.js?bust=1.25.450 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:51 +0700] "GET /www/js/app/common/ctrl/SecurityTool.js?bust=1.25.450 HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:51 +0700] "GET /www/js/app/common/ctrl/TranslationTool.js?bust=1.25.450 HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:51 +0700] "GET /www/js/app/common/ctrl/PaginationTool.js?bust=1.25.450 HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:51 +0700] "GET /www/js/app/common/ctrl/InputTool.js?bust=1.25.450 HTTP/1.1" 200 12042
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:51 +0700] "GET /www/js/lib/prj/metismenu/metisMenu.min.js?bust=1.25.450 HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:12:51 +0700] "GET /www/js/lib/prj/node-waves/waves.min.js?bust=1.25.450 HTTP/1.1" 200 2316
